shipname|shipaddress|shipcity|shipregion|shippostalcode|shipcountry|customerid|customername|address|city|region|postalcode|country|salesperson|orderid|orderdate|requireddate|shippeddate|shippername|productid|productname|unitprice|quantity|discount|extendedprice|freight,,
"Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|RATTC|Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|0.0|11077|""1998-05-06 00:00:00""|""1998-06-03 00:00:00""||United Package|20|Sir Rodney's Marmalade|81.0000|1|0.0|81.0|8.5300",,
"Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|RATTC|Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|0.0|11077|""1998-05-06 00:00:00""|""1998-06-03 00:00:00""||United Package|23|Tunnbrd|9.0000|2|0.0|18.0|8.5300",,
"Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|RATTC|Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|0.0|11077|""1998-05-06 00:00:00""|""1998-06-03 00:00:00""||United Package|32|Mascarpone Fabioli|32.0000|1|0.0|32.0|8.5300",,
"Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|RATTC|Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|0.0|11077|""1998-05-06 00:00:00""|""1998-06-03 00:00:00""||United Package|39|Chartreuse verte|18.0000|2|0.0|36.0|8.5300",,
"Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|RATTC|Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|0.0|11077|""1998-05-06 00:00:00""|""1998-06-03 00:00:00""||United Package|41|Jack's New England Clam Chowder|9.6500|3|0.0|28.0|8.5300",,
"Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|RATTC|Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|0.0|11077|""1998-05-06 00:00:00""|""1998-06-03 00:00:00""||United Package|46|Spegesild|12.0000|3|0.0|36.0|8.5300",,
"Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|RATTC|Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|0.0|11077|""1998-05-06 00:00:00""|""1998-06-03 00:00:00""||United Package|52|Filo Mix|7.0000|2|0.0|14.0|8.5300",,
"Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|RATTC|Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|0.0|11077|""1998-05-06 00:00:00""|""1998-06-03 00:00:00""||United Package|55|Pt chinois|24.0000|2|0.0|48.0|8.5300",,
"Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|RATTC|Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|0.0|11077|""1998-05-06 00:00:00""|""1998-06-03 00:00:00""||United Package|60|Camembert Pierrot|34.0000|2|0.0|68.0|8.5300",,
"Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|RATTC|Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|0.0|11077|""1998-05-06 00:00:00""|""1998-06-03 00:00:00""||United Package|64|Wimmers gute Semmelkndel|33.2500|2|0.0|66.0|8.5300",,
"Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|RATTC|Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|0.0|11077|""1998-05-06 00:00:00""|""1998-06-03 00:00:00""||United Package|66|Louisiana Hot Spiced Okra|17.0000|1|0.0|17.0|8.5300",,
"Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|RATTC|Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|0.0|11077|""1998-05-06 00:00:00""|""1998-06-03 00:00:00""||United Package|73|Rd Kaviar|15.0000|2|0.0|30.0|8.5300",,
"Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|RATTC|Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|0.0|11077|""1998-05-06 00:00:00""|""1998-06-03 00:00:00""||United Package|75|Rhnbru Klosterbier|7.7500|4|0.0|31.0|8.5300",,
"Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|RATTC|Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|0.0|11077|""1998-05-06 00:00:00""|""1998-06-03 00:00:00""||United Package|77|Original Frankfurter grne Soe|13.0000|2|0.0|26.0|8.5300",,
"Ernst Handel|Kirchgasse 6|Graz||""8010""|Austria|ERNSH|Ernst Handel|Kirchgasse 6|Graz||""8010""|Austria|0.0|10258|""1996-07-17 00:00:00""|""1996-08-14 00:00:00""|""1996-07-23 00:00:00""|Speedy Express|2|Chang|15.2000|50|0.0|760.0|140.5100",,
"Ernst Handel|Kirchgasse 6|Graz||""8010""|Austria|ERNSH|Ernst Handel|Kirchgasse 6|Graz||""8010""|Austria|0.0|10258|""1996-07-17 00:00:00""|""1996-08-14 00:00:00""|""1996-07-23 00:00:00""|Speedy Express|5|Chef Anton's Gumbo Mix|17.0000|65|0.0|1105.0|140.5100",,
"Ernst Handel|Kirchgasse 6|Graz||""8010""|Austria|ERNSH|Ernst Handel|Kirchgasse 6|Graz||""8010""|Austria|0.0|10258|""1996-07-17 00:00:00""|""1996-08-14 00:00:00""|""1996-07-23 00:00:00""|Speedy Express|32|Mascarpone Fabioli|25.6000|6|0.0|153.0|140.5100",,
"Wartian Herkku|Torikatu 38|Oulu||""90110""|Finland|WARTH|Wartian Herkku|Torikatu 38|Oulu||""90110""|Finland|0.0|10270|""1996-08-01 00:00:00""|""1996-08-29 00:00:00""|""1996-08-02 00:00:00""|Speedy Express|36|Inlagd Sill|15.2000|30|0.0|456.0|136.5400",,
"Wartian Herkku|Torikatu 38|Oulu||""90110""|Finland|WARTH|Wartian Herkku|Torikatu 38|Oulu||""90110""|Finland|0.0|10270|""1996-08-01 00:00:00""|""1996-08-29 00:00:00""|""1996-08-02 00:00:00""|Speedy Express|43|Ipoh Coffee|36.8000|25|0.0|920.0|136.5400",,
"Magazzini Alimentari Riuniti|Via Ludovico il Moro 22|Bergamo||""24100""|Italy|MAGAA|Magazzini Alimentari Riuniti|Via Ludovico il Moro 22|Bergamo||""24100""|Italy|0.0|10275|""1996-08-07 00:00:00""|""1996-09-04 00:00:00""|""1996-08-09 00:00:00""|Speedy Express|24|Guaran Fantstica|3.6000|12|0.0|43.0|26.9300",,
"Magazzini Alimentari Riuniti|Via Ludovico il Moro 22|Bergamo||""24100""|Italy|MAGAA|Magazzini Alimentari Riuniti|Via Ludovico il Moro 22|Bergamo||""24100""|Italy|0.0|10275|""1996-08-07 00:00:00""|""1996-09-04 00:00:00""|""1996-08-09 00:00:00""|Speedy Express|59|Raclette Courdavault|44.0000|6|0.0|264.0|26.9300",,
"Ernst Handel|Kirchgasse 6|Graz||""8010""|Austria|ERNSH|Ernst Handel|Kirchgasse 6|Graz||""8010""|Austria|0.0|10351|""1996-11-11 00:00:00""|""1996-12-09 00:00:00""|""1996-11-20 00:00:00""|Speedy Express|38|Cte de Blaye|210.8000|20|0.0|4216.0|162.3300",,
"Ernst Handel|Kirchgasse 6|Graz||""8010""|Austria|ERNSH|Ernst Handel|Kirchgasse 6|Graz||""8010""|Austria|0.0|10351|""1996-11-11 00:00:00""|""1996-12-09 00:00:00""|""1996-11-20 00:00:00""|Speedy Express|41|Jack's New England Clam Chowder|7.7000|13|0.0|100.0|162.3300",,
"Ernst Handel|Kirchgasse 6|Graz||""8010""|Austria|ERNSH|Ernst Handel|Kirchgasse 6|Graz||""8010""|Austria|0.0|10351|""1996-11-11 00:00:00""|""1996-12-09 00:00:00""|""1996-11-20 00:00:00""|Speedy Express|44|Gula Malacca|15.5000|77|0.0|1193.0|162.3300",,
"Ernst Handel|Kirchgasse 6|Graz||""8010""|Austria|ERNSH|Ernst Handel|Kirchgasse 6|Graz||""8010""|Austria|0.0|10351|""1996-11-11 00:00:00""|""1996-12-09 00:00:00""|""1996-11-20 00:00:00""|Speedy Express|65|Louisiana Fiery Hot Pepper Sauce|16.8000|10|0.0|168.0|162.3300",,
"Eastern Connection|""35 King George""|London||WX3 6FW|UK|EASTC|Eastern Connection|""35 King George""|London||WX3 6FW|UK|0.0|10364|""1996-11-26 00:00:00""|""1997-01-07 00:00:00""|""1996-12-04 00:00:00""|Speedy Express|69|Gudbrandsdalsost|28.8000|30|0.0|864.0|71.9700",,
"Eastern Connection|""35 King George""|London||WX3 6FW|UK|EASTC|Eastern Connection|""35 King George""|London||WX3 6FW|UK|0.0|10364|""1996-11-26 00:00:00""|""1997-01-07 00:00:00""|""1996-12-04 00:00:00""|Speedy Express|71|Flotemysost|17.2000|5|0.0|86.0|71.9700",,
"La maison d-Asie|""1 rue Alsace-Lorraine""|Toulouse||""31000""|France|LAMAI|La maison d'Asie|""1 rue Alsace-Lorraine""|Toulouse||""31000""|France|0.0|10371|""1996-12-03 00:00:00""|""1996-12-31 00:00:00""|""1996-12-24 00:00:00""|Speedy Express|36|Inlagd Sill|15.2000|6|0.0|91.0|0.4500",,
"Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|RATTC|Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|0.0|10401|""1997-01-01 00:00:00""|""1997-01-29 00:00:00""|""1997-01-10 00:00:00""|Speedy Express|30|Nord-Ost Matjeshering|20.7000|18|0.0|372.0|12.5100",,
"Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|RATTC|Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|0.0|10401|""1997-01-01 00:00:00""|""1997-01-29 00:00:00""|""1997-01-10 00:00:00""|Speedy Express|56|Gnocchi di nonna Alice|30.4000|70|0.0|2128.0|12.5100",,
"Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|RATTC|Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|0.0|10401|""1997-01-01 00:00:00""|""1997-01-29 00:00:00""|""1997-01-10 00:00:00""|Speedy Express|65|Louisiana Fiery Hot Pepper Sauce|16.8000|20|0.0|336.0|12.5100",,
"Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|RATTC|Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|0.0|10401|""1997-01-01 00:00:00""|""1997-01-29 00:00:00""|""1997-01-10 00:00:00""|Speedy Express|71|Flotemysost|17.2000|60|0.0|1032.0|12.5100",,
"LINO-Delicateses|Ave. 5 de Mayo Porlamar|I. de Margarita|Nueva Esparta|""4980""|Venezuela|LINOD|LINO-Delicateses|Ave. 5 de Mayo Porlamar|I. de Margarita|Nueva Esparta|""4980""|Venezuela|0.0|10405|""1997-01-06 00:00:00""|""1997-02-03 00:00:00""|""1997-01-22 00:00:00""|Speedy Express|3|Aniseed Syrup|8.0000|50|0.0|400.0|34.8200",,
"White Clover Markets|""1029 - 12th Ave. S.""|Seattle|WA|""98124""|USA|WHITC|White Clover Markets|""305 - 14th Ave. S. Suite 3B""|Seattle|WA|""98128""|USA|0.0|10469|""1997-03-10 00:00:00""|""1997-04-07 00:00:00""|""1997-03-14 00:00:00""|Speedy Express|2|Chang|15.2000|40|0.0|608.0|60.1800",,
"White Clover Markets|""1029 - 12th Ave. S.""|Seattle|WA|""98124""|USA|WHITC|White Clover Markets|""305 - 14th Ave. S. Suite 3B""|Seattle|WA|""98128""|USA|0.0|10469|""1997-03-10 00:00:00""|""1997-04-07 00:00:00""|""1997-03-14 00:00:00""|Speedy Express|16|Pavlova|13.9000|35|0.0|486.0|60.1800",,
"White Clover Markets|""1029 - 12th Ave. S.""|Seattle|WA|""98124""|USA|WHITC|White Clover Markets|""305 - 14th Ave. S. Suite 3B""|Seattle|WA|""98128""|USA|0.0|10469|""1997-03-10 00:00:00""|""1997-04-07 00:00:00""|""1997-03-14 00:00:00""|Speedy Express|44|Gula Malacca|15.5000|2|0.0|31.0|60.1800",,
"Richter Supermarkt|Starenweg 5|Genve||""1204""|Switzerland|RICSU|Richter Supermarkt|Grenzacherweg 237|Genve||""1203""|Switzerland|0.0|10537|""1997-05-14 00:00:00""|""1997-05-28 00:00:00""|""1997-05-19 00:00:00""|Speedy Express|31|Gorgonzola Telino|12.5000|30|0.0|375.0|78.8500",,
"Richter Supermarkt|Starenweg 5|Genve||""1204""|Switzerland|RICSU|Richter Supermarkt|Grenzacherweg 237|Genve||""1203""|Switzerland|0.0|10537|""1997-05-14 00:00:00""|""1997-05-28 00:00:00""|""1997-05-19 00:00:00""|Speedy Express|51|Manjimup Dried Apples|53.0000|6|0.0|318.0|78.8500",,
"Richter Supermarkt|Starenweg 5|Genve||""1204""|Switzerland|RICSU|Richter Supermarkt|Grenzacherweg 237|Genve||""1203""|Switzerland|0.0|10537|""1997-05-14 00:00:00""|""1997-05-28 00:00:00""|""1997-05-19 00:00:00""|Speedy Express|58|Escargots de Bourgogne|13.2500|20|0.0|265.0|78.8500",,
"Richter Supermarkt|Starenweg 5|Genve||""1204""|Switzerland|RICSU|Richter Supermarkt|Grenzacherweg 237|Genve||""1203""|Switzerland|0.0|10537|""1997-05-14 00:00:00""|""1997-05-28 00:00:00""|""1997-05-19 00:00:00""|Speedy Express|72|Mozzarella di Giovanni|34.8000|21|0.0|730.0|78.8500",,
"Richter Supermarkt|Starenweg 5|Genve||""1204""|Switzerland|RICSU|Richter Supermarkt|Grenzacherweg 237|Genve||""1203""|Switzerland|0.0|10537|""1997-05-14 00:00:00""|""1997-05-28 00:00:00""|""1997-05-19 00:00:00""|Speedy Express|73|Rd Kaviar|15.0000|9|0.0|135.0|78.8500",,
"Reggiani Caseifici|Strada Provinciale 124|Reggio Emilia||""42100""|Italy|REGGC|Reggiani Caseifici|Strada Provinciale 124|Reggio Emilia||""42100""|Italy|0.0|10562|""1997-06-09 00:00:00""|""1997-07-07 00:00:00""|""1997-06-12 00:00:00""|Speedy Express|33|Geitost|2.5000|20|0.0|50.0|22.9500",,
"Reggiani Caseifici|Strada Provinciale 124|Reggio Emilia||""42100""|Italy|REGGC|Reggiani Caseifici|Strada Provinciale 124|Reggio Emilia||""42100""|Italy|0.0|10562|""1997-06-09 00:00:00""|""1997-07-07 00:00:00""|""1997-06-12 00:00:00""|Speedy Express|62|Tarte au sucre|49.3000|10|0.0|493.0|22.9500",,
"Hungry Owl All-Night Grocers|""8 Johnstown Road""|Cork|Co. Cork||Ireland|HUNGO|Hungry Owl All-Night Grocers|""8 Johnstown Road""|Cork|Co. Cork||Ireland|0.0|10567|""1997-06-12 00:00:00""|""1997-07-10 00:00:00""|""1997-06-17 00:00:00""|Speedy Express|31|Gorgonzola Telino|12.5000|60|0.0|750.0|33.9700",,
"Hungry Owl All-Night Grocers|""8 Johnstown Road""|Cork|Co. Cork||Ireland|HUNGO|Hungry Owl All-Night Grocers|""8 Johnstown Road""|Cork|Co. Cork||Ireland|0.0|10567|""1997-06-12 00:00:00""|""1997-07-10 00:00:00""|""1997-06-17 00:00:00""|Speedy Express|51|Manjimup Dried Apples|53.0000|3|0.0|159.0|33.9700",,
"Hungry Owl All-Night Grocers|""8 Johnstown Road""|Cork|Co. Cork||Ireland|HUNGO|Hungry Owl All-Night Grocers|""8 Johnstown Road""|Cork|Co. Cork||Ireland|0.0|10567|""1997-06-12 00:00:00""|""1997-07-10 00:00:00""|""1997-06-17 00:00:00""|Speedy Express|59|Raclette Courdavault|55.0000|40|0.0|2200.0|33.9700",,
Que Delcia|Rua da Panificadora," 12|Rio de Janeiro|RJ|""02389-673""|Brazil|QUEDE|Que Delcia|Rua da Panificadora"," 12|Rio de Janeiro|RJ|""02389-673""|Brazil|0.0|10587|""1997-07-02 00:00:00""|""1997-07-30 00:00:00""|""1997-07-09 00:00:00""|Speedy Express|26|Gumbr Gummibrchen|31.2300|6|0.0|187.0|62.5200"
Que Delcia|Rua da Panificadora," 12|Rio de Janeiro|RJ|""02389-673""|Brazil|QUEDE|Que Delcia|Rua da Panificadora"," 12|Rio de Janeiro|RJ|""02389-673""|Brazil|0.0|10587|""1997-07-02 00:00:00""|""1997-07-30 00:00:00""|""1997-07-09 00:00:00""|Speedy Express|35|Steeleye Stout|18.0000|20|0.0|360.0|62.5200"
Que Delcia|Rua da Panificadora," 12|Rio de Janeiro|RJ|""02389-673""|Brazil|QUEDE|Que Delcia|Rua da Panificadora"," 12|Rio de Janeiro|RJ|""02389-673""|Brazil|0.0|10587|""1997-07-02 00:00:00""|""1997-07-30 00:00:00""|""1997-07-09 00:00:00""|Speedy Express|77|Original Frankfurter grne Soe|13.0000|20|0.0|260.0|62.5200"
"Vaffeljernet|Smagsloget 45|rhus||""8200""|Denmark|VAFFE|Vaffeljernet|Smagsloget 45|rhus||""8200""|Denmark|0.0|10591|""1997-07-07 00:00:00""|""1997-07-21 00:00:00""|""1997-07-16 00:00:00""|Speedy Express|3|Aniseed Syrup|10.0000|14|0.0|140.0|55.9200",,
"Vaffeljernet|Smagsloget 45|rhus||""8200""|Denmark|VAFFE|Vaffeljernet|Smagsloget 45|rhus||""8200""|Denmark|0.0|10591|""1997-07-07 00:00:00""|""1997-07-21 00:00:00""|""1997-07-16 00:00:00""|Speedy Express|7|Uncle Bob's Organic Dried Pears|30.0000|10|0.0|300.0|55.9200",,
"Vaffeljernet|Smagsloget 45|rhus||""8200""|Denmark|VAFFE|Vaffeljernet|Smagsloget 45|rhus||""8200""|Denmark|0.0|10591|""1997-07-07 00:00:00""|""1997-07-21 00:00:00""|""1997-07-16 00:00:00""|Speedy Express|54|Tourtire|7.4500|50|0.0|372.0|55.9200",,
"Furia Bacalhau e Frutos do Mar|Jardim das rosas n. 32|Lisboa||""1675""|Portugal|FURIB|Furia Bacalhau e Frutos do Mar|Jardim das rosas n. 32|Lisboa||""1675""|Portugal|0.0|10604|""1997-07-18 00:00:00""|""1997-08-15 00:00:00""|""1997-07-29 00:00:00""|Speedy Express|48|Chocolade|12.7500|6|0.0|76.0|7.4600",,
"Furia Bacalhau e Frutos do Mar|Jardim das rosas n. 32|Lisboa||""1675""|Portugal|FURIB|Furia Bacalhau e Frutos do Mar|Jardim das rosas n. 32|Lisboa||""1675""|Portugal|0.0|10604|""1997-07-18 00:00:00""|""1997-08-15 00:00:00""|""1997-07-29 00:00:00""|Speedy Express|76|Lakkalikri|18.0000|10|0.0|180.0|7.4600",,
"Mre Paillarde|""43 rue St. Laurent""|Montral|Qubec|H1J 1C3|Canada|MEREP|Mre Paillarde|""43 rue St. Laurent""|Montral|Qubec|H1J 1C3|Canada|0.0|10618|""1997-08-01 00:00:00""|""1997-09-12 00:00:00""|""1997-08-08 00:00:00""|Speedy Express|6|Grandma's Boysenberry Spread|25.0000|70|0.0|1750.0|154.6800",,
"Mre Paillarde|""43 rue St. Laurent""|Montral|Qubec|H1J 1C3|Canada|MEREP|Mre Paillarde|""43 rue St. Laurent""|Montral|Qubec|H1J 1C3|Canada|0.0|10618|""1997-08-01 00:00:00""|""1997-09-12 00:00:00""|""1997-08-08 00:00:00""|Speedy Express|56|Gnocchi di nonna Alice|38.0000|20|0.0|760.0|154.6800",,
"Mre Paillarde|""43 rue St. Laurent""|Montral|Qubec|H1J 1C3|Canada|MEREP|Mre Paillarde|""43 rue St. Laurent""|Montral|Qubec|H1J 1C3|Canada|0.0|10618|""1997-08-01 00:00:00""|""1997-09-12 00:00:00""|""1997-08-08 00:00:00""|Speedy Express|68|Scottish Longbreads|12.5000|15|0.0|187.0|154.6800",,
"Frankenversand|Berliner Platz 43|Mnchen||""80805""|Germany|FRANK|Frankenversand|Berliner Platz 43|Mnchen||""80805""|Germany|0.0|10653|""1997-09-02 00:00:00""|""1997-09-30 00:00:00""|""1997-09-19 00:00:00""|Speedy Express|16|Pavlova|17.4500|30|0.0|523.0|93.2500",,
"Frankenversand|Berliner Platz 43|Mnchen||""80805""|Germany|FRANK|Frankenversand|Berliner Platz 43|Mnchen||""80805""|Germany|0.0|10653|""1997-09-02 00:00:00""|""1997-09-30 00:00:00""|""1997-09-19 00:00:00""|Speedy Express|60|Camembert Pierrot|34.0000|20|0.0|680.0|93.2500",,
"France restauration|""54"," rue Royale""|Nantes||""44000""|France|FRANR|France restauration|""54"," rue Royale""|Nantes||""44000""|France|0.0|10671|""1997-09-17 00:00:00""|""1997-10-15 00:00:00""|""1997-09-24 00:00:00""|Speedy Express|16|Pavlova|17.4500|10|0.0|174.0|30.3400"
"France restauration|""54"," rue Royale""|Nantes||""44000""|France|FRANR|France restauration|""54"," rue Royale""|Nantes||""44000""|France|0.0|10671|""1997-09-17 00:00:00""|""1997-10-15 00:00:00""|""1997-09-24 00:00:00""|Speedy Express|62|Tarte au sucre|49.3000|10|0.0|493.0|30.3400"
"France restauration|""54"," rue Royale""|Nantes||""44000""|France|FRANR|France restauration|""54"," rue Royale""|Nantes||""44000""|France|0.0|10671|""1997-09-17 00:00:00""|""1997-10-15 00:00:00""|""1997-09-24 00:00:00""|Speedy Express|65|Louisiana Fiery Hot Pepper Sauce|21.0500|12|0.0|252.0|30.3400"
"Old World Delicatessen|""2743 Bering St.""|Anchorage|AK|""99508""|USA|OLDWO|Old World Delicatessen|""2743 Bering St.""|Anchorage|AK|""99508""|USA|0.0|10680|""1997-09-24 00:00:00""|""1997-10-22 00:00:00""|""1997-09-26 00:00:00""|Speedy Express|16|Pavlova|17.4500|50|0.0|872.0|26.6100",,
"Old World Delicatessen|""2743 Bering St.""|Anchorage|AK|""99508""|USA|OLDWO|Old World Delicatessen|""2743 Bering St.""|Anchorage|AK|""99508""|USA|0.0|10680|""1997-09-24 00:00:00""|""1997-10-22 00:00:00""|""1997-09-26 00:00:00""|Speedy Express|31|Gorgonzola Telino|12.5000|20|0.0|250.0|26.6100",,
"Old World Delicatessen|""2743 Bering St.""|Anchorage|AK|""99508""|USA|OLDWO|Old World Delicatessen|""2743 Bering St.""|Anchorage|AK|""99508""|USA|0.0|10680|""1997-09-24 00:00:00""|""1997-10-22 00:00:00""|""1997-09-26 00:00:00""|Speedy Express|42|Singaporean Hokkien Fried Mee|14.0000|40|0.0|560.0|26.6100",,
Hanari Carnes|Rua do Pao," 67|Rio de Janeiro|RJ|""05454-876""|Brazil|HANAR|Hanari Carnes|Rua do Pao"," 67|Rio de Janeiro|RJ|""05454-876""|Brazil|0.0|10690|""1997-10-02 00:00:00""|""1997-10-30 00:00:00""|""1997-10-03 00:00:00""|Speedy Express|56|Gnocchi di nonna Alice|38.0000|20|0.0|760.0|15.8000"
